name,placetype,locality,region,country,rank,award,population,wof:id,lat,lng,bbox,is_nacto,is_mapzen_support,landuse,map_url,comment
Gresham,locality,Gresham,OR,United States,3,Silver,105594,,,,,,,Suburban,,
Oregon Health & Science University,campus,Portland,OR,United States,2,Gold,4405,,,,,,,University,,
Oregon State University,campus,Corvallis,OR,United States,2,Gold,24383,,,,,,,University,,
Portland,locality,Portland,OR,United States,1,Platinum,533492,,,,,1,1,Urban,https://www.portlandoregon.gov/transportation/article/322407,
Portland State University,campus,Portland,OR,United States,1,Platinum,28241,,,,,,,University,,
Roseburg,locality,Roseburg,OR,United States,4,Bronze,22510,,,,,,,,,
Salem,locality,Salem,OR,United States,4,Bronze,152239,,,,,,,Urban,,
Southern Oregon University,campus,Ashland,OR,United States,3,Silver,6800,,,,,,,University,,
University of Oregon,campus,Eugene,OR,United States,2,Gold,23809,,,,,,,University,,
Bethlehem,locality,Bethlehem,PA,United States,4,Bronze,75000,,,,,,,Urban core surrounded by low density suburban areas,,
Carnegie Mellon University,campus,Pittsburgh,PA,United States,4,Bronze,12991,,,,,,,University,,
Chatham University,campus,Pittsburgh,PA,United States,4,Bronze,2134,,,,,,,University,,
Dickinson College,campus,Carlisle,PA,United States,3,Silver,2396,,,,,,,University,,
Franklin,locality,Franklin,PA,United States,4,Bronze,6545,,,,,,,Rural,,
Montgomery County Community College,campus,Blue Bell,PA,United States,4,Bronze,2217,,,,,,,University,,
Philadelphia,locality,Philadelphia,PA,United States,3,Silver,1567442,,,,,1,,,,
Pittsburgh,locality,Pittsburgh,PA,United States,4,Bronze,306211,,,,,,,Urban,,
Reading,locality,Reading,PA,United States,4,Bronze,87893,,,,,,,Urban,,
State College,locality,State College,PA,United States,4,Bronze,92096,,,,,,,,,Centre Region
Temple University,campus,Philadelphia,PA,United States,4,Bronze,31589,,,,,,,University,,
The Pennsylvania State University,campus,University Park,PA,United States,3,Silver,46254,,,,,,,University,,
University of Pennsylvania,campus,Philadelphia,PA,United States,3,Silver,24630,,,,,,,University,,
York,locality,York,PA,United States,4,Bronze,43550,,,,,,,Urban,,
Newport,locality,Newport,RI,United States,4,Bronze,24672,,,,,,,Urban,,
Clemson University,campus,Clemson,SC,United States,4,Bronze,18531,,,,,,,University,,
Coastal Carolina University,campus,Conway,SC,United States,4,Bronze,9976,,,,,,,University,,
Columbia,locality,Columbia,SC,United States,4,Bronze,133393,,,,,,,Urbanized area,,
Greenville,locality,Greenville,SC,United States,4,Bronze,60379,,,,,,,Urban,,
Hilton Head Island,locality,Hilton Head Island,SC,United States,2,Gold,37099,,,,,,,Suburban,,
Rock Hill,locality,Rock Hill,SC,United States,4,Bronze,70594,,,,,,,,,
Spartanburg,locality,Spartanburg,SC,United States,4,Bronze,39487,,,,,,,Suburban,,
University of South Carolina - Columbia,campus,Columbia,SC,United States,4,Bronze,30721,,,,,,,University,,
Brookings,locality,Brookings,SD,United States,4,Bronze,22056,,,,,,,,,
Sioux Falls,locality,Sioux Falls,SD,United States,4,Bronze,160000,,,,,,,Suburban,,
Austin,locality,Austin,Texas,United States,3,,,,,,,1,1,,http://www.arcgis.com/home/webmap/viewer.html?url=http://services.arcgis.com/0L95CJ0VTaxqcmED/ArcGIS/rest/services/TRANSPORTATION_bicycle_facilities/FeatureServer&source=sd,Urban Trails: https://data.austintexas.gov/Government/Urban-Trails/bxbe-ndaw | Bike Map: 
Chattanooga,locality,Chattanooga,TN,United States,3,Silver,171279,,,,,,,Urban,,
Knoxville,locality,Knoxville,TN,United States,4,Bronze,178874,,,,,,,Urban,,
Lincoln Memorial University,campus,Harrogate,TN,United States,3,Silver,4338,,,,,,,University,,
Memphis,locality,Memphis,TN,United States,4,Bronze,657457,,,,,,,Urban,,
Nashville-Davidson County,locality,Nashville-Davidson County,TN,United States,4,Bronze,634464,,,,,,,Urban,,
University of Memphis,campus,Memphis,TN,United States,4,Bronze,21500,,,,,,,University,,
Vanderbilt University and Medical Center,campus,Nashville,TN,United States,4,Bronze,12725,,,,,,,University,,
Austin,locality,Austin,TX,United States,2,Gold,885400,,,,,,,Urban,,
Brownsville,locality,Brownsville,TX,United States,4,Bronze,181860,,,,,,,Suburban,,
El Paso,locality,El Paso,TX,United States,4,Bronze,681124,,,,,,,,,
Fort Worth,locality,Fort Worth,TX,United States,4,Bronze,812553,,,,,,,,,
Frisco,locality,Frisco,TX,United States,4,Bronze,152710,,,,,,,Suburban,,
Houston,locality,Houston,TX,United States,4,Bronze,2160821,,,,,1,,Urban,,
Plano,locality,Plano,TX,United States,4,Bronze,296330,,,,,,,Suburban,,
Richardson,locality,Richardson,TX,United States,4,Bronze,99223,,,,,,,Suburban,,
San Antonio,locality,San Antonio,TX,United States,4,Bronze,1409019,,,,,,,Urban,,
Texas A&M University,campus,College Station,TX,United States,4,Bronze,52372,,,,,,,University,,
Texas Tech University,campus,Lubbock,TX,United States,4,Bronze,32611,,,,,,,University,,
The Woodlands Township,localadmin,The Woodlands Township,TX,United States,4,Bronze,109679,,,,,,,Suburban,,
University of Texas at Austin,campus,Austin,TX,United States,4,Bronze,52186,,,,,,,University,,
Brigham Young University,campus,Provo,UT,United States,4,Bronze,30411,,,,,,,University,,
Moab City,county,Moab City & Grand County,UT,United States,3,Silver,14271,,,,,,,Rural,,Grand County
Ogden,locality,Ogden,UT,United States,4,Bronze,83800,,,,,,,Urban,,
Park City-Snyderville Basin,locality,Park City-Snyderville Basin,UT,United States,3,Silver,27706,,,,,,,,,
Provo,locality,Provo,UT,United States,3,Silver,117489,,,,,,,,,
Riverdale City,locality,Riverdale City,UT,United States,4,Bronze,8666,,,,,,,,,
Salt Lake City,locality,Salt Lake City,UT,United States,3,Silver,189314,,,,,1,,Urban,,
St. George City,locality,St. George City,UT,United States,4,Bronze,80000,,,,,,,Urban core surrounded by low density suburban areas,,
University of Utah,campus,Salt Lake City,UT,United States,3,Silver,31660,,,,,,,University,,
Utah State University,campus,Logan,UT,United States,3,Silver,15899,,,,,,,University,,
Saratoga Springs,locality,Saratoga Springs,Utah,United States,4,,,,,,,,1,,,
Alexandria,locality,Alexandria,VA,United States,3,Silver,144301,,,,,1,1,Urban,,
Arlington,county,Arlington,VA,United States,3,Silver,216700,,,,,1,,Urban,,
Charlottesville,locality,Charlottesville,VA,United States,3,Silver,43748,,,,,,,Suburban,,
Eastern Mennonite University,campus,Harrisonburg,VA,United States,4,Bronze,1605,,,,,,,University,,
Fairfax County,county,Fairfax County,VA,United States,4,Bronze,1125385,,,,,,,Low density suburban,,
George Mason University,campus,Fairfax,VA,United States,4,Bronze,33723,,,,,,,University,,
Harrisonburg,locality,Harrisonburg,VA,United States,4,Bronze,52612,,,,,,,Urban,,
James Madison University,campus,Harrisonburg,VA,United States,4,Bronze,22500,,,,,,,University,,
Norfolk,locality,Norfolk,VA,United States,4,Bronze,246392,,,,,,,Urban,,
Portsmouth,locality,Portsmouth,VA,United States,4,Bronze,96470,,,,,,,Urban,,
Reston,locality,Reston,VA,United States,4,Bronze,58404,,,,,,,Suburban,,
Richmond,locality,Richmond,VA,United States,4,Bronze,205533,,,,,,,Urban,,
Roanoke,locality,Roanoke,VA,United States,4,Bronze,99681,,,,,,,,,
University of Virginia,campus,Charlottesville,VA,United States,4,Bronze,21095,,,,,,,University,,
Vienna,locality,Vienna,VA,United States,4,Bronze,15687,,,,,,,,,
Virginia Beach,locality,Virginia Beach,VA,United States,4,Bronze,449479,,,,,,,Suburban,,
Virginia Commonwealth University,campus,Richmond,VA,United States,3,Silver,31242,,,,,,,University,,
Virginia Tech,campus,Blacksburg,VA,United States,4,Bronze,31087,,,,,,,University,,
Williamsburg,locality,Williamsburg,VA,United States,4,Bronze,14067,,,,,,,Urban,,
Burlington,locality,Burlington,VT,United States,3,,,,,,,1,1,,https://d3n8a8pro7vhmx.cloudfront.net/localmotion/pages/289/attachments/original/1470946167/WalkBikeMap.pdf?1470946167,
Champlain College,campus,Burlington,VT,United States,3,Silver,3780,,,,,,,University,,
Essex Junction,locality,Essex Junction,VT,United States,4,Bronze,9695,,,,,,,Suburban,,
Montpelier,locality,Montpelier,VT,United States,4,Bronze,7855,,,,,,,Rural,,
University of Vermont,campus,Burlington,VT,United States,3,Silver,12723,,,,,,,University,,
Anacortes,locality,Anacortes,WA,United States,4,Bronze,16800,,,,,,,,,
Bellevue,locality,Bellevue,WA,United States,4,Bronze,134400,,,,,,,Urban,,
Bellingham,locality,Bellingham,WA,United States,3,Silver,73460,,,,,,,Urban,,
Ellensburg,locality,Ellensburg,WA,United States,3,Silver,18363,,,,,,,Rural,,
Greater Wenatchee Metropolitan Area,metro,Greater Wenatchee Metropolitan Area,WA,United States,4,Bronze,67227,,,,,,,Urban,,
Jamestown S'Klallam Tribe,tribe,Jamestown S'Klallam Tribe,WA,United States,4,Bronze,72312,,,,,,,Rural,,
Kirkland,locality,Kirkland,WA,United States,4,Bronze,87281,,,,,,,Urban core surrounded by low density suburban areas,,
Liberty Lake,locality,Liberty Lake,WA,United States,4,Bronze,8000,,,,,,,Urban,,
Port Angeles/Clallam County,county,Port Angeles/Clallam County,WA,United States,4,Bronze,72312,,,,,,,Rural,,
Port Townsend,locality,Port Townsend,WA,United States,3,Silver,9454,,,,,,,,,
Redmond,locality,Redmond,WA,United States,3,Silver,54144,,,,,,,Suburban,,
Seattle,locality,Seattle,WA,United States,2,Gold,686800,,,,,1,1,,http://www.seattlebikeblog.com/bike-map/,http://www.seattle.gov/transportation/docs/2016_BikeMap_Brochure.pdf
Sequim,locality,Sequim,WA,United States,4,Bronze,6624,,,,,,,Rural,,
Snohomish,locality,Snohomish,WA,United States,4,Bronze,9098,,,,,,,Suburban,,
Spokane,locality,Spokane,WA,United States,4,Bronze,210721,,,,,,,Urban,,
Tacoma,locality,Tacoma,WA,United States,4,Bronze,203446,,,,,,,Urban,,
"University of Washington, Seattle",campus,Seattle,WA,United States,2,Gold,43000,,,,,,,University,,
Vancouver,locality,Vancouver,WA,United States,4,Bronze,156600,,,,,,,Urban,,
Walla Walla,locality,Walla Walla,WA,United States,4,Bronze,32237,,,,,,,,,
Appleton,locality,Appleton,WI,United States,3,Silver,73463,,,,,,,Urbanized area,,
Carroll University,campus,Waukesha,WI,United States,4,Bronze,3140,,,,,,,University,,
Dane County,county,Dane County,WI,United States,4,Bronze,496762,,,,,,,Suburban,,
Eau Claire,locality,Eau Claire,WI,United States,4,Bronze,66834,,,,,,,Suburban,,
Fitchburg,locality,Fitchburg,WI,United States,3,Silver,27154,,,,,,,Suburban,,
La Crosse,locality,La Crosse,WI,United States,3,Silver,51522,,,,,,,Urban,,
Madison,locality,Madison,WI,United States,1,Platinum,237395,,,,,,,Urban,,
Menomonie,locality,Menomonie,WI,United States,4,Bronze,16264,,,,,,,Suburban,,
Middleton,locality,Middleton,WI,United States,4,Bronze,18411,,,,,,,Suburban,,
Milwaukee,locality,Milwaukee,WI,United States,4,Bronze,598916,,,,,,,Urban,,
Monona,locality,Monona,WI,United States,4,Bronze,7533,,,,,,,Suburban,,
Onalaska,locality,Onalaska,WI,United States,4,Bronze,17736,,,,,,,Suburban,,
River Falls,locality,River Falls,WI,United States,4,Bronze,15209,,,,,,,,,
Sheboygan County,county,Sheboygan County,WI,United States,4,Bronze,115507,,,,,,,Rural,,
Shorewood,locality,Shorewood,WI,United States,3,Silver,13188,,,,,,,Urban,,
Stevens Point,locality,Stevens Point,WI,United States,4,Bronze,27040,,,,,,,,,
Sturgeon Bay,locality,Sturgeon Bay,WI,United States,4,Bronze,9144,,,,,,,Low density suburban,,
University of Wisconsin - Eau Claire,campus,Eau Claire,WI,United States,4,Bronze,11046,,,,,,,University,,
University of Wisconsin - La Crosse,campus,La Crosse,WI,United States,4,Bronze,10558,,,,,,,University,,
University of Wisconsin - Madison,campus,Madison,WI,United States,2,Gold,43193,,,,,,,University,,
University of Wisconsin - Milwaukee,campus,Milwaukee,WI,United States,2,Gold,27401,,,,,,,University,,
University of Wisconsin - Stout,campus,Menomonie,WI,United States,4,Bronze,9371,,,,,,,University,,
Wausau Metropolitan Area,metro,Wausau Metropolitan Area,WI,United States,4,Bronze,84831,,,,,,,Urban,,
Madison,locality,Madison,Wisc.,United States,2,,,,,,,1,,,,
Jackson and Teton County,county,Jackson and Teton County,WY,United States,2,Gold,24000,,,,,,,Small town,,
Laramie,locality,Laramie,WY,United States,4,Bronze,30816,,,,,,,,,
University of Wyoming,campus,Laramie,WY,United States,4,Bronze,11041,,,,,,,University,,
